usagedate,usadults
2005-03-21,0.05
2005-12-08,0.08
2006-08-31,0.11
2008-05-11,0.21
2008-08-10,0.26
2008-08-31,0.25
2008-12-04,0.27
2008-12-20,0.26
2009-04-19,0.36
2009-09-14,0.37
2009-12-27,0.42
2010-01-19,0.43
2010-05-30,0.48
2010-09-13,0.46
2010-11-24,0.45
2010-11-28,0.46
2010-12-21,0.47
2011-05-22,0.50
2011-08-26,0.50
2012-02-19,0.53
2012-08-07,0.59
2012-12-09,0.54
2013-05-19,0.61
2013-07-14,0.60
2013-09-30,0.63
2014-01-26,0.62
2015-07-12,0.65
2016-11-06,0.69
2018-01-10,0.69
2019-02-07,0.72
2021-02-08,0.72
