demographic,facebook,instagram,linkedIn
Total,0.69,0.40,0.28
Men,0.61,0.36,0.31
Women,0.77,0.44,0.26
Ages 18-29,0.70,0.71,0.30
30-49,0.77,0.48,0.36
50-64,0.73,0.29,0.33
65+,0.50,0.13,0.11
White,0.67,0.35,0.29
Black,0.74,0.49,0.27
Hispanic,0.72,0.52,0.19
Less than $30K,0.70,0.35,0.12
"$30K-$49,999",0.76,0.45,0.21
"$50K-$74,999",0.61,0.39,0.21
More than $75K,0.70,0.47,0.50
High school or less,0.64,0.30,0.10
Some college,0.71,0.44,0.28
College graduate,0.73,0.49,0.51
Urban,0.70,0.45,0.30
Suburban,0.70,0.41,0.33
Rural,0.67,0.25,0.15
